parent,child
h5,g__Mycoplasma|s__arthritidis
h7,g__Rhizobium|s__sp. IE4771
h9,g__Caulobacter|s__mirabilis
EthanolConsumptionimport,g__Eubacterium|s__limosum
p__Firmicutes,g__Streptococcus|s__intermedius
h9,g__Pseudanabaena|s__sp. ABRG5-3
p__Proteobacteria,g__Acinetobacter|s__sp. TGL-Y2
h1,g__Mycolicibacterium|s__mageritense
h4,g__Dokdonia|s__sp. 4H-3-7-5
h8,g__Mycoplasma|s__genitalium
p__Proteobacteria,g__Haemophilus|s__pittmaniae
ButyrateProductionexport,g__Clostridium|s__cellulovorans
h1,g__Rathayibacter|s__toxicus
output,69
h4,g__Serratia|s__sp. FS14
h8,g__Nocardioides|s__sp. 78
h9,g__Campylobacter|s__sp. CGEMS
h6,g__Dysgonomonas|s__sp. HDW5A
p__Tenericutes,g__Spiroplasma|s__cantharicola
h0,g__Mycobacterium|s__kubicae
h0,g__Corynebacterium|s__sp. 2039
h3,g__Campylobacter|s__hepaticus
h1,g__Mycetocola|s__sp. JXN-3
h7,g__Bifidobacterium|s__pullorum
h0,g__Liberibacter|s__Candidatus Liberibacter asiaticus
h1,g__Kibdelosporangium|s__phytohabitans
h2,g__Pseudescherichia|s__vulneris
h0,g__Mycobacterium|s__canettii
p__Actinobacteria,g__Paenarthrobacter|s__sp. YJN-5
h1,g__Acholeplasma|s__laidlawii
h1,g__Sphingopyxis|s__sp. FD7
h3,g__Pseudomonas|s__asturiensis
h5,g__Ruminiclostridium|s__sp. MA18
h5,g__Thermoanaerobacter|s__mathranii
h7,g__Aurantimicrobium|s__sp. MWH-Uga1
h1,g__Acidovorax|s__sp. HDW3
h6,g__Octadecabacter|s__arcticus
h1,g__Sulfurimonas|s__sp. S2-6
h4,g__Methylosinus|s__sp. C49
h8,g__Acinetobacter|s__baylyi
h6,g__Thermotoga|s__sp. RQ7
p__Proteobacteria,g__Mesorhizobium|s__terrae
h3,g__Streptomyces|s__parvulus
h7,g__Xanthomonas|s__theicola
h8,g__Sulfolobus|s__sp. NOB8H2
h3,g__Actinomyces|s__viscosus
h7,g__Sulfurimonas|s__paralvinellae
h5,g__Pseudoalteromonas|s__ruthenica
h7,g__Methanothrix|s__thermoacetophila
h0,g__Prevotella|s__ruminicola
h0,g__Aneurinibacillus|s__sp. XH2
h6,g__Streptomyces|s__sp. FR1
h9,g__Stenotrophomonas|s__sp. ZAC14A_NAIMI4_1
h3,g__Pyrobaculum|s__neutrophilum
h4,g__Thermus|s__brockianus
h0,g__Hyphomicrobium|s__nitrativorans
p__Proteobacteria,g__Rhizobium|s__sp. WL3
h4,g__Virgibacillus|s__sp. Bac332
h9,g__Flavobacterium|s__crassostreae
h9,g__Aminomonas|s__paucivorans
AcetateProductionexport,g__Bacteroides|s__caccae
h9,g__Auritidibacter|s__sp. NML130574
output,TaurocholateConsumptionimport
h5,g__Pseudomonas|s__chlororaphis
h9,g__Microbacterium|s__oryzae
h1,g__Sphingomonas|s__sp. HKS19
h4,g__Kluyvera|s__genomosp. 3
p__Proteobacteria,g__Thermomonas|s__brevis
224,g__Bacillus|s__mobilis
h2,g__Vibrio|s__sp. HBUAS61001
p__Proteobacteria,g__Raoultella|s__Enterobacteriaceae endosymbiont of Plateumaris rustica
h0,g__Chondrocystis|s__sp. NIES-4102
h2,g__Methylomicrobium|s__sp. wino1
h2,g__Streptococcus|s__milleri
D-GlucoseGlucoseConsumptionimport,g__Clostridium|s__botulinum
h1,g__Streptomyces|s__lunaelactis
h2,g__Streptomyces|s__sp. NA04227
p__Proteobacteria,g__Pseudomonas|s__sp. URMO17WK12:I11
h1,g__Pseudomonas|s__sp. ATCC 13867
h4,g__Pseudomonas|s__sp. Lz4W
h6,g__Campylobacter|s__volucris
p__Proteobacteria,g__Kosakonia|s__Enterobacteriaceae endosymbiont of Donacia bicoloricornis
h0,g__Agromyces|s__aureus
h6,g__Wolbachia|s__endosymbiont of Dipetalonema caudispina
h6,g__Stenotrophomonas|s__sp. SAU14A_NAIMI4_8
h7,g__Propioniciclava|s__sp. HDW11
h1,g__Moraxella|s__bovoculi
h8,g__Roseomonas|s__sp. FDAARGOS_362
h9,g__Chlorobium|s__phaeobacteroides
h6,g__Clostridium|s__sporogenes
h0,g__Prochlorococcus|s__marinus
h8,g__Tardiphaga|s__robiniae
h3,g__Nostoc|s__sp. ATCC 53789
p__Firmicutes,g__Mediterraneibacter|s__[Ruminococcus] gnavus
p__Proteobacteria,g__Ottowia|s__oryzae
p__Bacteroidetes,g__Prevotella|s__dentalis
h9,g__Clostridium|s__sporogenes
h8,g__Vespertiliibacter|s__pulmonis
h5,g__Luteimicrobium|s__xylanilyticum
h8,g__Legionella|s__geestiana
h3,g__Oerskovia|s__sp. KBS0722
h7,g__Bacillus|s__pumilus
h9,g__Ferrimonas|s__balearica
h2,g__Gloeobacter|s__cyanobacterium endosymbiont of Epithemia turgida
h0,g__Desulfotomaculum|s__reducens
h4,g__Gordonia|s__rubripertincta
h8,g__Acinetobacter|s__sp. FDAARGOS_724
h2,g__Burkholderia|s__sp. NRF60-BP8
h0,g__Sphingomonas|s__sp. C33
h3,g__Acidovorax|s__citrulli
p__Chloroflexi,g__Candidatus Promineofilum|s__breve
h4,g__Nitrosomonas|s__eutropha
h6,g__Tepiditoga|s__spiralis
h1,g__Paracoccus|s__pantotrophus
H2HydrogenConsumptionimport,g__Methanosphaera|s__stadtmanae
h7,g__Parasphingopyxis|s__sp. CP4
h0,g__Hydrogenophaga|s__sp. BA0156
h3,g__Micromonospora|s__rifamycinica
h4,g__Acinetobacter|s__sp. WCHA45
h2,g__Polaromonas|s__naphthalenivorans
h2,g__Methanococcoides|s__methylutens
h5,g__Sphingopyxis|s__sp. 113P3
h7,g__Serratia|s__sp. LS-1
h4,g__Sulfurimonas|s__gotlandica
h0,g__Amycolatopsis|s__methanolica
h2,g__Arcticibacterium|s__luteifluviistationis
h3,g__Mannheimia|s__sp. 16CN0041
h6,g__Francisella|s__hispaniensis
h6,g__Leptotrichia|s__sp. oral taxon 498
h9,g__Cytophaga|s__hutchinsonii
h1,g__Streptomyces|s__sp. 11-1-2
h6,g__Sphingomonas|s__sp. Cra20
h9,g__Clostridium|s__sp. JN-9
h6,g__Sulfurisphaera|s__tokodaii
h5,g__Pseudoalteromonas|s__luteoviolacea
h4,g__Frankia|s__sp. QA3
h3,g__Paenibacillus|s__naphthalenovorans
h6,g__Mycolicibacterium|s__gadium
h4,g__Staphylococcus|s__cohnii
h2,g__Archangium|s__gephyra
h1,g__Stenotrophomonas|s__sp. 364
h0,g__Roseovarius|s__sp. THAF27
h3,g__Thermosynechococcus|s__elongatus
h8,g__Brucella|s__suis
h9,g__Jiangella|s__alkaliphila
h8,g__Bacteroides|s__heparinolyticus
h8,g__Kocuria|s__sp. TGY1127_2
h0,g__Borreliella|s__bissettii
h1,g__Bacterioplanes|s__sanyensis
h2,g__Campylobacter|s__sputorum
h0,g__Marinitoga|s__piezophila
h2,g__Allochromatium|s__vinosum
h3,g__Marinobacter|s__salarius
h6,g__Arthrobacter|s__sp. Chr15
h2,g__Nostoc|s__sp. C057
h8,g__Pseudomonas|s__sp. GR 6-02
p__Bacteroidetes,g__Alistipes|s__dispar
h0,g__Limosilactobacillus|s__fermentum
h0,g__Acidaminococcus|s__intestini
h8,g__Bacillus|s__sp. JAS24-2
h6,g__Methylocella|s__tundrae
AcetateProductionexport,g__Lactobacillus|s__crispatus
h1,g__Methylovirgula|s__ligni
h1,g__Capnocytophaga|s__endodontalis
h4,g__Haemophilus|s__[Haemophilus] ducreyi
h0,g__Idiomarina|s__piscisalsi
p__Firmicutes,g__Mesobacillus|s__jeotgali
h8,g__Arcobacter|s__anaerophilus
h8,g__Bacillus|s__licheniformis
h0,g__Picrophilus|s__oshimae
h9,g__Sphingomonas|s__sp. HDW15A
h1,g__Selenomonas|s__sp. oral taxon 126
h4,g__Acidipropionibacterium|s__virtanenii
h1,g__Kocuria|s__sp. KD4
h8,g__Pseudomonas|s__sp. LPH1
p__Actinobacteria,g__Mycobacterium|s__pseudoshottsii
h1,g__Planococcus|s__dechangensis
h4,g__Nonomuraea|s__gerenzanensis
h4,g__Chlamydia|s__suis
h7,g__Rhizobium|s__sp. NIBRBAC000502774
h8,g__Mycolicibacterium|s__fluoranthenivorans
p__Proteobacteria,g__Acetobacter|s__pomorum
h3,g__Bordetella|s__hinzii
ButyrateProductionexport,g__Butyrivibrio|s__proteoclasticus
h6,g__Arcobacter|s__cibarius
h3,g__Vibrio|s__harveyi
h2,g__Paraglaciecola|s__sp. L3A3
h1,g__Elusimicrobium|s__minutum
h1,g__Psychrobacter|s__sp. DAB_AL43B
h3,g__Mycobacterium|s__sp. PYR15
h4,g__Arthrobacter|s__sp. YC-RL1
h1,g__Streptomyces|s__sp. QMT-12
h6,g__Rhodococcus|s__qingshengii
h0,g__Geoglobus|s__acetivorans
h7,g__Chromobacterium|s__sp. Rain0013
h7,g__Caulobacter|s__flavus
h8,g__Dehalogenimonas|s__formicexedens
h5,g__Edwardsiella|s__ictaluri
h1,g__Leptotrichia|s__hongkongensis
h8,g__Chlorobaculum|s__tepidum
h6,g__Phenylobacterium|s__zucineum
h3,g__Comamonas|s__sp. NLF-7-7
h6,g__Enterobacter|s__sp. CRENT-193
h3,g__Formosa|s__sediminum
p__Proteobacteria,g__Oricola|s__sp. MEBiC13590
h6,g__Acidovorax|s__carolinensis
h4,g__Haliangium|s__ochraceum
h4,g__Undibacterium|s__sp. KW1
GlycolithocholateConsumptionimport,g__Bifidobacterium|s__bifidum
h4,g__Vibrio|s__chagasii
h9,g__Fusobacterium|s__hwasookii
h3,g__Sulfurimonas|s__paralvinellae
h4,g__Rhodococcus|s__sp. BH4
194,g__Cronobacter|s__malonaticus
h6,g__Janthinobacterium|s__svalbardensis
h3,g__Massilia|s__violaceinigra
p__Proteobacteria,g__Sphingomonas|s__sp. NIC1
p__Proteobacteria,g__Geobacter|s__lovleyi
h0,g__Shewanella|s__sp. MR-4
h0,g__Pseudomonas|s__mendocina
h6,g__Denitratisoma|s__sp. DHT3
h6,g__Agrobacterium|s__genomosp. 1
p__Proteobacteria,g__Campylobacter|s__sp. CFSAN093226
h0,g__Anaplasma|s__centrale
h5,g__Natronomonas|s__pharaonis
h6,g__Agrobacterium|s__larrymoorei
h6,g__Sulfuracidifex|s__tepidarius
h2,g__Kurthia|s__sp. 11kri321
h0,g__Nodularia|s__spumigena
h9,g__Candidatus Nardonella|s__dryophthoridicola
h9,g__Candidatus Planktophila|s__limnetica
h3,g__Bartonella|s__elizabethae
h8,g__Mycoavidus|s__cysteinexigens
h7,g__Chlamydia|s__sp. S15-834C
h6,g__Chryseobacterium|s__balustinum
h1,g__Desulfosarcina|s__ovata
h0,g__Halomicrobium|s__sp. LC1Hm
h4,g__Hymenobacter|s__sp. DG25B
h3,g__Azoarcus|s__communis
h1,g__Lysobacter|s__oculi
h3,g__Ruegeria|s__sp. AD91A
h0,g__Pseudomonas|s__sp. OIL-1
h8,g__Polaromonas|s__sp. H6N
h9,g__Synechocystis|s__sp. CACIAM 05
p__Thermodesulfobacteria,g__Caldimicrobium|s__thiodismutans
h6,g__Meiothermus|s__silvanus
h8,g__Massilia|s__sp. Se16.2.3
0,g__Bacillus|s__intestinalis
p__Proteobacteria,g__Halocynthiibacter|s__arcticus
h1,g__Chitinimonas|s__arctica
h2,g__Geobacillus|s__kaustophilus
h4,g__Candidatus Phytoplasma|s__Wheat blue dwarf phytoplasma
h8,g__Altererythrobacter|s__ishigakiensis
h6,g__Streptomyces|s__kanamyceticus
h2,g__Mesoplasma|s__tabanidae
h2,g__Salmonella|s__enterica
h9,g__Schaalia|s__meyeri
h5,g__Variovorax|s__sp. HW608
h3,g__Sinimarinibacterium|s__sp. NLF-5-8
h8,g__Treponema|s__socranskii
h0,g__Butyricimonas|s__faecalis
p__Proteobacteria,g__Bartonella|s__henselae
h7,g__Gottschalkia|s__acidurici
h1,g__Silicimonas|s__algicola
h3,g__Desulfocurvibacter|s__africanus
h4,g__Saccharothrix|s__syringae
h9,g__Methanosarcina|s__vacuolata
h0,g__Cellulomonas|s__gilvus
p__Proteobacteria,g__Xanthomonas|s__citri
h1,g__Synechococcus|s__sp. JA-3-3Ab
h9,g__Liquorilactobacillus|s__nagelii
h0,g__Duganella|s__sp. AF9R3
h8,g__Streptacidiphilus|s__sp. PB12-B1b
p__Euryarchaeota,g__Aciduliprofundum|s__boonei
p__Proteobacteria,g__Pseudomonas|s__lurida
h2,g__Pseudoalteromonas|s__sp. Scap06
h2,g__Flavobacterium|s__sp. KP1
h1,g__Dehalogenimonas|s__lykanthroporepellens
h6,g__Enterococcus|s__faecalis
h6,g__Proteus|s__hauseri
h7,g__Streptomyces|s__phaeochromogenes
p__Actinobacteria,g__Corynebacterium|s__nuruki
p__Actinobacteria,g__Micromonospora|s__purpureochromogenes
h3,g__Microbacterium|s__sp. 10M-3C3
h4,g__Streptomyces|s__sp. 769
h8,g__Methanosphaerula|s__palustris
PantothenicacidVitaminB5PantothenateConsumptionimport,g__Clostridium|s__acetobutylicum
h0,g__Gordonia|s__alkanivorans
p__Proteobacteria,g__Helicobacter|s__sp. MIT 01-6242
h1,g__Comamonas|s__aquatica
h4,g__Sphingomonas|s__taxi
h6,g__Limnochorda|s__pilosa
h9,g__Sporosarcina|s__ureilytica
h9,g__Tetrasphaera|s__sp. HKS02
h3,g__Anaerotignum|s__propionicum
h8,g__Variovorax|s__sp. PMC12
h8,g__Altererythrobacter|s__namhicola
h4,g__Candidatus Phytoplasma|s__mali
h9,g__Proteus|s__sp. ZN5
h0,g__Psychroflexus|s__torquis
h3,g__Geobacillus|s__[Bacillus] caldolyticus
h4,g__Nocardioides|s__sp. MC1495
h4,g__Chelatococcus|s__daeguensis
h8,g__Nocardiopsis|s__alba
h0,g__Brenneria|s__goodwinii
h8,g__Brachybacterium|s__saurashtrense
h1,g__Spirosoma|s__sp. I-24
h4,g__Dehalobacter|s__sp. DCA
h8,g__Thalassospira|s__indica
h8,g__Stenotrophomonas|s__sp. CW117
h6,g__Maritalea|s__myrionectae
h2,g__Corynebacterium|s__mycetoides
h0,g__Flavobacterium|s__sp. HYN0086
h9,g__Enterococcus|s__gallinarum
h9,g__Coriobacterium|s__glomerans
h2,g__Streptomyces|s__sp. WAC00288
h2,g__Microbacterium|s__sp. 1.5R
p__Proteobacteria,g__Yersinia|s__hibernica
8,g__Pontibacter|s__korlensis
h0,g__Niastella|s__koreensis
h4,g__Parasphingopyxis|s__algicola
h8,g__Nitrincola|s__sp. KXZD1103
26,g__Pelobacter|s__propionicus
h6,g__Erwinia|s__persicina
h8,g__Thermocrinis|s__ruber
h1,g__Methanosarcina|s__flavescens
H2O2Productionexport,g__Streptococcus|s__oralis
h4,g__Pseudoalteromonas|s__sp. JSTW
h8,g__Ethanoligenens|s__harbinense
h0,g__Lactococcus|s__sp. 1JSPR-7
h7,g__Leptospira|s__interrogans
h1,g__Methanosphaera|s__stadtmanae
h9,g__Streptomyces|s__sp. Go-475
h3,g__Paenibacillus|s__guangzhouensis
h1,g__Pseudomonas|s__salegens
h0,g__Streptococcus|s__sp. HSISS1
h6,g__Candidatus Cyclonatronum|s__proteinivorum
h0,g__Mesorhizobium|s__sp. M2A.F.Ca.ET.043.05.1.1
h2,g__Citrobacter|s__braakii
h8,g__Paracoccus|s__sp. Arc7-R13
h4,g__Aeromonas|s__taiwanensis
h8,g__Pseudoalteromonas|s__sp. 1_2015MBL_MicDiv
h9,g__Pseudomonas|s__orientalis
h8,g__Bacteroides|s__fragilis
h4,g__Rhodococcus|s__sp. 008
h9,g__Arthrobacter|s__dokdonellae
p__Cyanobacteria,g__Anabaena|s__cylindrica
p__Euryarchaeota,g__Salinarchaeum|s__sp. Harcht-Bsk1
h4,g__Brachybacterium|s__saurashtrense
h9,g__Kitasatospora|s__aureofaciens
SuccinateProductionexport,g__Bacteroides|s__helcogenes
output,RaffinoseConsumptionimport
p__Actinobacteria,g__Libanicoccus|s__massiliensis
p__Actinobacteria,g__Actinomyces|s__gaoshouyii
h1,g__Saccharibacillus|s__brassicae
h5,g__Methanospirillum|s__hungatei
h6,g__Agromyces|s__protaetiae
h9,g__Bacillus|s__sp. DU-106
217,g__Micromonospora|s__aurantiaca
h3,g__Natrinema|s__versiforme
h4,g__Microlunatus|s__sp. KUDC0627
h2,g__Arthrobacter|s__sp. 24S4-2
h4,g__Kytococcus|s__sedentarius
h8,g__Haloferax|s__alexandrinus
h5,g__Candidatus Fokinia|s__solitaria
h4,g__Methanocaldococcus|s__fervens
h5,g__Enterobacter|s__soli
h4,g__Pseudomonas|s__otitidis
h0,g__Prosthecochloris|s__sp. HL-130-GSB
h2,g__Roseburia|s__hominis
h5,g__Aciduliprofundum|s__boonei
h1,g__Vibrio|s__sp. HDW18
h5,g__Pseudomonas|s__libanensis
h2,g__Streptococcus|s__porcinus
h6,g__Polaromonas|s__vacuolata
h6,g__Sulfurospirillum|s__sp. ACSDCE
h3,g__Diaphorobacter|s__aerolatus
h0,g__Pluralibacter|s__[Enterobacter] lignolyticus
h2,g__Pyrococcus|s__yayanosii
h2,g__Spiroplasma|s__atrichopogonis
h0,g__Staphylococcus|s__sp. 693-2
h5,g__Pontibacter|s__akesuensis
h1,g__Arcobacter|s__trophiarum
h7,g__Ralstonia|s__mannitolilytica
h8,g__Vibrio|s__cholerae
h9,g__Borrelia|s__hermsii
h8,g__Formosa|s__sp. Hel3_A1_48
p__Firmicutes,g__Clostridium|s__sp. MF28
RR-23-ButanediolRR-ButanediolSS-23-ButanediolSS-ButanediolConsumptionimportproductionexport,g__Klebsiella|s__pneumoniae
h4,g__Actinomadura|s__sp. NAK00032
h8,g__Gottschalkia|s__acidurici
h0,g__Pseudomonas|s__sp. JY-Q
p__Proteobacteria,g__Cobetia|s__marina
21,g__Paracoccus|s__jeotgali
p__Actinobacteria,g__Streptomyces|s__griseoviridis
h0,g__Opitutus|s__sp. GAS368
h5,g__Methanosarcina|s__sp. WH1
h6,g__Roseobacter|s__denitrificans
h8,g__Synechococcus|s__elongatus
4,g__Abiotrophia|s__defectiva
p__Proteobacteria,g__Pseudomonas|s__sp. THAF7b
h9,g__Helicobacter|s__cholecystus
h7,g__Campylobacter|s__subantarcticus
h4,g__Staphylococcus|s__hominis
h4,g__Mycobacterium|s__florentinum
h0,g__Rhodococcus|s__sp. ABRD24
p__Proteobacteria,g__Neisseria|s__musculi
h2,g__Prevotella|s__jejuni
h1,g__Companilactobacillus|s__Lactobacillus alimentarius
h7,g__Hydrogenophaga|s__sp. RAC07
h5,g__Helicobacter|s__typhlonius
h3,g__Microbacterium|s__sp. XT11
h4,g__Candidatus Phycorickettsia|s__trachydisci
h0,g__Acinetobacter|s__radioresistens
h0,g__Pseudomonas|s__sp. S49
h2,g__Streptococcus|s__urinalis
h6,g__Pseudoalteromonas|s__sp. SANK 73390
h9,g__Pseudomonas|s__sp. IzPS23
h1,g__Changchengzhania|s__lutea
h1,g__Sulfitobacter|s__sp. D7
h6,g__Amylolactobacillus|s__amylophilus
p__Proteobacteria,g__Shewanella|s__piezotolerans
h5,g__Moraxella|s__sp. TA144
h8,g__Thermosediminibacter|s__oceani
h2,g__Massilia|s__flava
h0,g__Sulfodiicoccus|s__acidiphilus
p__Firmicutes,g__Radiobacillus|s__deserti
h0,g__Klebsiella|s__huaxiensis
55,g__Cobetia|s__pacifica
h1,g__Eubacterium|s__maltosivorans
h1,g__Pseudomonas|s__sp. WCS374
h5,g__Francisella|s__hispaniensis
h6,g__Olivibacter|s__sp. LS-1
h4,g__Altererythrobacter|s__sp. TH136
h8,g__Helicobacter|s__pullorum
h3,g__Streptomyces|s__sp. EN27
h5,g__Agromyces|s__aureus
h4,g__Tetrasphaera|s__sp. HKS02
h0,g__Candidatus Nitrotoga|s__sp. AM1P
h9,g__Secundilactobacillus|s__Lactobacillus paracollinoides
h9,g__Actinobacillus|s__succinogenes
h7,g__Bacillus|s__sp. Pc3
h6,g__Rhodothermus|s__marinus
h1,g__Candidatus Fokinia|s__solitaria
h9,g__Rhodothermus|s__marinus
h6,g__Nocardioides|s__sp. HY056
h0,g__Bacillus|s__sp. ABP14
h3,g__Rahnella|s__sp. WMR42
h9,g__Acetilactobacillus|s__jinshanensis
h1,g__Halodesulfurarchaeum|s__haloarchaeon TuA4
h8,g__Enterobacter|s__asburiae
h0,g__Thermococcus|s__paralvinellae
h2,g__Sedimentisphaera|s__cyanobacteriorum
h5,g__Marinitoga|s__piezophila
225,g__Lentilactobacillus|s__Lactobacillus buchneri
h6,g__Dickeya|s__sp. CSL RW240
h6,g__Nocardia|s__brasiliensis
h5,g__Citrobacter|s__sp. RHB25-C09
h2,g__Proteus|s__hauseri
h7,g__Leptospirillum|s__ferrooxidans
p__Proteobacteria,g__Marinobacterium|s__aestuarii
h9,g__Eggerthella|s__lenta
h9,g__Candidatus Deianiraea|s__vastatrix
h2,g__Nitrobacter|s__winogradskyi
h1,g__Basilea|s__psittacipulmonis
h2,g__Raoultella|s__Enterobacteriaceae endosymbiont of Plateumaris rustica
h0,g__Bacillus|s__sp. 275
h1,g__Criblamydia|s__sequanensis
h3,g__Hymenobacter|s__sp. PAMC 26554
h6,g__Chryseobacterium|s__sp. T16E-39
p__Actinobacteria,g__Rothia|s__nasimurium
h0,g__Muriicola|s__sp. MMS17-SY002
h9,g__Mycoplasma|s__maculosum
p__Proteobacteria,g__Roseovarius|s__indicus
h9,g__Flavobacterium|s__sp. KI723T1
h6,g__Chryseobacterium|s__sp. NBC 122
h2,g__Oscillatoria|s__nigro-viridis
h6,g__Bifidobacterium|s__indicum
h2,g__Burkholderia|s__sp. JP2-270
h8,g__Nocardioides|s__sp. zg-579
AcetateProductionexport,g__Mycoplasma|s__hyorhinis
h0,g__Bombella|s__sp. KACC 21507
h3,g__Variovorax|s__sp. HW608
h5,g__Roseivirga|s__pacifica
h8,g__Agrobacterium|s__sp. MA01
p__Proteobacteria,g__Leclercia|s__adecarboxylata
h2,g__Flavobacterium|s__sp. CJ74
h9,g__Kocuria|s__sp. TGY1120_3
h5,g__Liberibacter|s__Candidatus Liberibacter asiaticus
h1,g__Actinomyces|s__oris
H2O2Productionexport,g__Streptococcus|s__infantis
h7,g__Pelolinea|s__submarina
h3,g__Corynebacterium|s__crudilactis
h2,g__Calothrix|s__sp. NIES-2098
h8,g__Rothia|s__dentocariosa
h2,g__Cellulophaga|s__lytica
118,g__Gluconobacter|s__oxydans
h3,g__Fuerstia|s__marisgermanicae
p__Proteobacteria,g__Parvibaculum|s__lavamentivorans
138,g__Bacillus|s__cytotoxicus
h0,g__Mycoplasma|s__crocodyli
p__Proteobacteria,g__Shewanella|s__sp. M2
h6,g__Roseovarius|s__sp. TM1035
h9,g__Prevotella|s__melaninogenica
h6,g__Geobacillus|s__kaustophilus
h4,g__Aequorivita|s__sp. H23M31
h1,g__Enterobacter|s__sp. R4-368
h7,g__Hydrogenophaga|s__sp. BPS33
h3,g__Kozakia|s__baliensis
h6,g__Halothiobacillus|s__neapolitanus
h1,g__Pseudomonas|s__sp. AK6U
NH3AmmoniaNH4AmmoniumProductionexport,g__Proteus|s__penneri
p__Proteobacteria,g__Porphyrobacter|s__neustonensis
h0,g__Streptacidiphilus|s__sp. P02-A3a
H2HydrogenProductionexport,g__Clostridium|s__kluyveri
h1,g__Liquorilactobacillus|s__Lactobacillus hordei
h1,g__Mesorhizobium|s__sp. M6A.T.Cr.TU.016.01.1.1
h9,g__Halothiobacillus|s__neapolitanus
h5,g__Nocardioides|s__sp. CF8
h6,g__Sebaldella|s__termitidis
h3,g__Stenotrophomonas|s__nitritireducens
h9,g__Sterolibacterium|s__denitrificans
p__Bacteroidetes,g__Chryseobacterium|s__sp. IHB B 17019
h9,g__Corynebacterium|s__sp. 4H37-19
h0,g__Methylobacterium|s__sp. DM1
h5,g__Bacillus|s__sp. FJAT-42376
p__Actinobacteria,g__Streptomyces|s__sp. S063
h1,g__Shewanella|s__baltica
h7,g__Streptomyces|s__sp. SirexAA-E
h1,g__Stenotrophomonas|s__sp. G4
h4,g__Shewanella|s__marisflavi
h7,g__Amycolatopsis|s__orientalis
h8,g__Alteromonas|s__macleodii
p__Euryarchaeota,g__Halorubrum|s__trapanicum
h4,g__Agrobacterium|s__tumefaciens
h1,g__Cobetia|s__marina
h7,g__Lentilactobacillus|s__Lactobacillus kefiri
p__Actinobacteria,g__Mycolicibacterium|s__frederiksbergense
h2,g__Psychrobacter|s__sp. 28M-43
h8,g__Chryseobacterium|s__joostei
h7,g__Clostridioides|s__difficile
h3,g__Murdochiella|s__vaginalis
h2,g__Acetobacter|s__pasteurianus
1,g__Oscillibacter|s__valericigenes
h5,g__Streptomyces|s__roseochromogenus
h8,g__Thermoanaerobacterium|s__aotearoense
h9,g__Hyphomonas|s__sp. CACIAM 19H1
p__Bacteroidetes,g__Chryseobacterium|s__taihuense
h0,g__Pseudomonas|s__oryzae
h1,g__Janthinobacterium|s__svalbardensis
h7,g__Mycobacterium|s__paraintracellulare
h8,g__Zymomonas|s__mobilis
h3,g__Aeromonas|s__caviae
PyruvateConsumptionimport,g__Desulfovibrio|s__vulgaris
h6,g__Polaribacter|s__sp. ALD11
h1,g__Neisseria|s__zoodegmatis
194,g__Shewanella|s__denitrificans
h5,g__Enterobacter|s__kobei
h5,g__Pedobacter|s__sp.
h8,g__Neisseria|s__bacilliformis
h6,g__Microchaete|s__diplosiphon
p__Proteobacteria,g__Vibrio|s__sp. HDW18
h2,g__Anabaena|s__sp. 90
output,186
h2,g__Paraburkholderia|s__atlantica
h8,g__Sphingomonas|s__sp. CL5.1
h0,g__Porphyrobacter|s__sp. LM 6
h8,g__Sphingomonas|s__sp. MM-1
p__Acidobacteria,g__Granulicella|s__sp. WH15
h3,g__Agrobacterium|s__sp. MA01
TaurolithocholateConsumptionimport,g__Bifidobacterium|s__animalis
h3,g__Filomicrobium|s__Candidatus Filomicrobium marinum
h1,g__Methylomonas|s__sp. LW13
p__Proteobacteria,g__Advenella|s__kashmirensis
PimelateConsumptionimport,g__Acidovorax|s__avenae
h6,g__Spiroplasma|s__gladiatoris
h7,g__Pseudoalteromonas|s__sp. SM9913
h4,g__Staphylococcus|s__vitulinus
12,g__Geobacillus|s__genomosp. 3
L-AspartateAspartateD-AspartateConsumptionimport,g__Clostridium|s__perfringens
h6,g__Desulfopila|s__sp. IMCC35004
h4,g__Vibrio|s__navarrensis
h7,g__Bordetella|s__sp. H567
p__Crenarchaeota,g__Aeropyrum|s__camini
h8,g__Pseudomonas|s__sp. SWI36
h9,g__Pseudomonas|s__sp. MSPm1
h5,g__Longibaculum|s__sp. KGMB06250
h0,g__Proteus|s__sp. ZN5
h5,g__Psychrobacter|s__sp. DAB_AL62B
h3,g__Paraburkholderia|s__phenoliruptrix
h2,g__Azoarcus|s__sp. KH32C
h2,g__Candidatus Nitrosomarinus|s__catalina
h6,g__Rhizobium|s__sp. NIBRBAC000502774
h3,g__Stackebrandtia|s__nassauensis
MethaneCH4Productionexport,g__Methanothermobacter|s__marburgensis
23,g__Staphylospora|s__marina
h2,g__Streptomyces|s__sp. x3
h3,g__Pseudothermotoga|s__elfii
h6,g__Spirosoma|s__montaniterrae
p__Actinobacteria,g__Streptomyces|s__anulatus
h4,g__Pseudoalteromonas|s__luteoviolacea
h8,g__Phreatobacter|s__sp. NMCR1094
h9,g__Microbacterium|s__endophyticum
h9,g__Halomonas|s__aestuarii
15,g__Mesoflavibacter|s__profundi
h3,g__Sulfurovum|s__lithotrophicum
210,g__Mycobacteroides|s__salmoniphilum
h3,g__Aciduliprofundum|s__boonei
h1,g__Bombella|s__sp. KACC 21507
h4,g__Lactococcus|s__sp. KACC 19320
