parent,child
h1,g__Empedobacter|s__brevis
h2,g__Microbacterium|s__sp. No. 7
h7,g__Candidatus Cardinium|s__Cardinium endosymbiont of Bemisia tabaci
h8,g__Mesorhizobium|s__sp. WSM1497
D-ArabinoseL-ArabinoseArabinoseL-ArabinopyranoseL-ArabinofuranoseConsumptionimport,g__Acidovorax|s__avenae
h8,g__Propionibacterium|s__australiense
h2,g__Dokdonia|s__sp. PRO95
h0,g__Micromonospora|s__sp. HM134
h1,g__Thioalkalivibrio|s__sp. K90mix
h0,g__Burkholderia|s__sp. KK1
PantothenicacidVitaminB5PantothenateConsumptionimport,g__Lactobacillus|s__gasseri
h0,g__Polynucleobacter|s__acidiphobus
h3,g__Dysgonomonas|s__sp. HDW5B
h4,g__Paraburkholderia|s__sprentiae
h6,g__Paenibacillus|s__lycopersici
h7,g__Mesorhizobium|s__sp. WSM1497
h8,g__Salmonella|s__sp. SSDFZ54
h6,g__Helicobacter|s__pullorum
k__Bacteria,g__Marinobacter|s__sp. NP-4(2019)
h7,g__Thioalkalivibrio|s__nitratireducens
h3,g__Francisella|s__opportunistica
h8,g__Mycoplasma|s__gallopavonis
h4,g__Streptococcus|s__macedonicus
h4,g__Lelliottia|s__nimipressuralis
h0,g__Nitrospira|s__Candidatus Nitrospira inopinata
h5,g__Psychrobacter|s__urativorans
5,g__Clostridium|s__beijerinckii
NH3AmmoniaNH4AmmoniumProductionexport,g__Paenibacillus|s__polymyxa
k__Bacteria,g__Beijerinckia|s__indica
h3,g__Fusobacterium|s__periodonticum
h4,g__Anoxybacillus|s__amylolyticus
h5,g__Anabaena|s__sp. 90
h6,g__Candidatus Blochmannia|s__Blochmannia endosymbiont of Polyrhachis (Hedomyrma) turneri
h3,g__Rhodovulum|s__sulfidophilum
h1,g__Liberibacter|s__crescens
h4,g__Glaesserella|s__parasuis
h2,g__Ehrlichia|s__muris
h5,g__Neisseria|s__musculi
h7,g__Treponema|s__azotonutricium
h8,g__Anaerococcus|s__prevotii
h8,g__Mycoplasma|s__sp. OR1901
h0,g__Serinicoccus|s__marinus
h0,g__Aurantimicrobium|s__sp. MWH-Uga1
h9,g__Pseudoalteromonas|s__sp. THAF3
h5,g__Marinobacter|s__sp. BSs20148
h2,g__Vibrio|s__neocaledonicus
h3,g__Candidatus Annandia|s__Enterobacteriaceae endosymbiont of Donacia cinerea
h9,g__Chlamydia|s__felis
h8,g__Aminomonas|s__paucivorans
h5,g__Pannonibacter|s__phragmitetus
k__Bacteria,g__Microlunatus|s__sp. KUDC0627
k__Bacteria,g__Sinimarinibacterium|s__sp. NLF-5-8
h5,g__Herbaspirillum|s__robiniae
FolicacidFolateVitaminB9Productionexport,g__Bifidobacterium|s__pseudocatenulatum
h9,g__Microbacterium|s__oxydans
h3,g__Serratia|s__liquefaciens
h9,g__Exiguobacterium|s__sp. AT1b
k__Bacteria,g__Bacillus|s__mycoides
h7,g__Candidatus Symbiobacter|s__mobilis
h3,g__Sulfuritalea|s__hydrogenivorans
h5,g__Aequorivita|s__sublithincola
h5,g__Salinibacterium|s__sp. dk2585
h7,g__Pseudomonas|s__denitrificans (nom. rej.)
k__Bacteria,g__Hymenobacter|s__jejuensis
h6,g__Cobetia|s__marina
h7,g__Psychrobacillus|s__glaciei
h0,g__Mucilaginibacter|s__sp. G2-14
h4,g__Candidatus Nasuia|s__deltocephalinicola
h4,g__Sphingobium|s__barthaii
h2,g__Alistipes|s__dispar
h8,g__Marinobacterium|s__aestuarii
k__Bacteria,g__Citrobacter|s__sp. ABFQG
h4,g__Sphingomonas|s__sp. NIC1
h9,g__Burkholderia|s__glumae
h5,g__Streptomyces|s__sp. SUK 48
229,g__Mesoplasma|s__chauliocola
14,g__Bacteroides|s__sp. CBA7301
h2,g__Actinomyces|s__israelii
h8,g__Lelliottia|s__Enterobacteriaceae endosymbiont of Macroplea mutica
h0,g__Elizabethkingia|s__anophelis
h5,g__Haloferax|s__mediterranei
h2,g__Streptomyces|s__sp. SirexAA-E
h0,g__Lancefieldella|s__parvula
h5,g__Methanothrix|s__soehngenii
h6,g__Schaalia|s__cardiffensis
h7,g__Caminibacter|s__mediatlanticus
8,g__Chryseobacterium|s__shandongense
output,146
h4,g__Aureimonas|s__sp. AU20
h0,g__Spirosoma|s__aerolatum
h2,g__Gemella|s__sp. oral taxon 928
AcetoneProductionexport,g__Clostridium|s__ljungdahlii
h5,g__Chryseobacterium|s__sp. JV274
h7,g__Algoriphagus|s__sp. Y33
h8,g__Rhodoferax|s__koreense
h1,g__Pseudomonas|s__asplenii
h3,g__Borreliella|s__finlandensis
h5,g__Brevundimonas|s__subvibrioides
h6,g__Pseudomonas|s__viridiflava
h7,g__Herbaspirillum|s__rubrisubalbicans
h2,g__Candidatus Symbiobacter|s__mobilis
h0,g__Bacteroides|s__coprosuis
h2,g__Calothrix|s__sp. PCC 7507
h8,g__Acidisarcina|s__polymorpha
h7,g__Bradyrhizobium|s__sp. SG09
h7,g__Shewanella|s__oneidensis
h9,g__Stenotrophomonas|s__sp. ESTM1D_MKCIP4_1
h6,g__Mycoplasma|s__yeatsii
h2,g__Acinetobacter|s__sp. DUT-2
h6,g__Myxococcus|s__xanthus
h2,g__Corynebacterium|s__ulcerans
h4,g__Ochrobactrum|s__anthropi
h7,g__Tessaracoccus|s__defluvii
h8,g__Calothrix|s__sp. 336/3
h3,g__Borrelia|s__recurrentis
CO2Productionexport,g__Streptococcus|s__infantarius
h3,g__Chryseobacterium|s__sp. G0186
h5,g__Burkholderia|s__pyrrocinia
h1,g__Streptomyces|s__sp. C8S0
k__Bacteria,g__Desulfovibrio|s__Candidatus Desulfovibrio trichonymphae
h1,g__Bordetella|s__pertussis
h5,g__Rahnella|s__sp. ERMR1:05
h0,g__Ornithinimicrobium|s__sp. H23M54
h2,g__Pseudoxanthomonas|s__suwonensis
h5,g__Geobacter|s__uraniireducens
h8,g__Proteiniphilum|s__saccharofermentans
h9,g__Microbacterium|s__amylolyticum
k__Bacteria,g__Paenibacillus|s__ihbetae
h2,g__Delftia|s__tsuruhatensis
h3,g__Adhaeribacter|s__swui
h3,g__Bacillus|s__sp. WR11
h4,g__Moritella|s__viscosa
h5,g__Ensifer|s__mexicanus
h0,g__Pseudomonas|s__sp. TKP
h9,g__Caballeronia|s__sp. SBC1
h6,g__Sulfurimonas|s__sp. 1-1N
h8,g__Streptomyces|s__qaidamensis
h4,g__Aerococcus|s__sanguinicola
h7,g__Cutibacterium|s__avidum
k__Bacteria,g__Arcobacter|s__defluvii
h4,g__Yersinia|s__entomophaga
h7,g__Pseudonocardia|s__autotrophica
h3,g__Streptomyces|s__sp. CB09001
h3,g__Staphylococcus|s__capitis
k__Bacteria,g__Mycolicibacterium|s__aichiense
h7,g__Streptomyces|s__sp. CCM_MD2014
h1,g__Streptomyces|s__sp. RLB1-33
h6,g__Streptomyces|s__libani
h7,g__Starkeya|s__novella
h6,g__Bacillus|s__freudenreichii
k__Bacteria,g__Pedobacter|s__sp.
k__Bacteria,g__Corynebacterium|s__variabile
h2,g__Citrobacter|s__sp. BDA59-3
h3,g__Alteromonas|s__addita
h5,g__Shewanella|s__sp. WPAGA9
h6,g__Synechococcus|s__sp. JA-3-3Ab
h8,g__Acidihalobacter|s__prosperus
h4,g__Microbacterium|s__sp. Se63.02b
h5,g__Pseudomonas|s__asiatica
h9,g__Pediococcus|s__claussenii
h7,g__Scytonema|s__sp. HK-05
h8,g__Halomicrobium|s__sp. LC1Hm
h9,g__Propionibacterium|s__sp. oral taxon 193
h0,g__Curtobacterium|s__sp. csp3
h0,g__Colwellia|s__sp. Arc7-D
h6,g__Filimonas|s__lacunae
h7,g__Nodularia|s__spumigena
h9,g__Tepiditoga|s__spiralis
1,g__Streptococcus|s__pasteurianus
h9,g__Nautilia|s__profundicola
h1,g__Anoxybacter|s__fermentans
h1,g__Magnetococcus|s__marinus
h5,g__Klebsiella|s__sp. WP3-S18-ESBL-05
k__Bacteria,g__Lysobacter|s__sp. II4
h0,g__Pseudomonas|s__sp. L22-9
h0,g__Dehalobacter|s__restrictus
h1,g__Corynebacterium|s__sp. 2019
26,g__Asticcacaulis|s__excentricus
h0,g__Acidovorax|s__sp. T1
h5,g__Methanothrix|s__Methanosaeta harundinacea
h3,g__Desulfotomaculum|s__reducens
h2,g__Stenotrophomonas|s__sp. MYb57
h4,g__Massilia|s__sp. Dwa41.01b
h0,g__Mucilaginibacter|s__ginsenosidivorax
h7,g__Mesorhizobium|s__sp. M1B.F.Ca.ET.045.04.1.1
h2,g__Methanoculleus|s__bourgensis
h2,g__Rathayibacter|s__tanaceti
k__Bacteria,g__Streptomyces|s__hawaiiensis
h1,g__Bradyrhizobium|s__sp. CCBAU 53421
h6,g__Acetobacterium|s__sp. KB-1
h8,g__Citrobacter|s__sp. TSA-1
h1,g__Arcobacter|s__nitrofigilis
k__Bacteria,g__Synechococcus|s__sp. BIOS-E4-1
h0,g__Ligilactobacillus|s__Lactobacillus saerimneri
h8,g__Acidithiobacillus|s__sp. 'AMD consortium'
k__Bacteria,g__Neokomagataea|s__tanensis
h2,g__Serratia|s__entomophila
h5,g__Helicobacter|s__apodemus
k__Bacteria,g__Aromatoleum|s__aromaticum
h1,g__Vibrio|s__qinghaiensis
h3,g__Myxococcus|s__hansupus
h6,g__Microbulbifer|s__sp. THAF38
h4,g__Haliscomenobacter|s__hydrossis
k__Bacteria,g__Neisseria|s__sp. ZJ785
h3,g__Salinibacterium|s__sp. UTAS2018
h6,g__Rhodococcus|s__sp. AQ5-07
h7,g__Herminiimonas|s__arsenicoxydans
k__Bacteria,g__Chondromyces|s__crocatus
h4,g__Streptomyces|s__sp. YIM 121038
h5,g__Microbacterium|s__sp. 1S1
h4,g__Natrinema|s__sp. J7-2
h7,g__Blastococcus|s__saxobsidens
h3,g__Cellulosimicrobium|s__sp. TH-20
k__Bacteria,g__Roseicitreum|s__antarcticum
h1,g__Ensifer|s__sojae
h4,g__Campylobacter|s__sp. RM16192
h4,g__Mycobacterium|s__sp. MOTT36Y
h2,g__Alcaligenes|s__aquatilis
h2,g__Methylobacterium|s__oryzae
h4,g__Fluoribacter|s__dumoffii
h0,g__Enterobacter|s__sp. E76
CO2Productionexport,g__Clostridium|s__perfringens
h6,g__Sphingomonas|s__sp. HDW15B
h4,g__Caldilinea|s__aerophila
h7,g__Enterococcus|s__faecalis
h5,g__Streptomyces|s__sp. S1D4-14
h7,g__Streptomyces|s__sp. 14R-10
h8,g__Adhaeribacter|s__swui
h2,g__Mesotoga|s__prima
h9,g__Winogradskyella|s__sp. PG-2
k__Bacteria,g__Rhizobium|s__oryzihabitans
h9,g__Burkholderia|s__stagnalis
k__Bacteria,g__Pseudomonas|s__sp. LPH1
h9,g__Thermococcus|s__radiotolerans
h4,g__Kordia|s__sp. SMS9
h2,g__Chryseobacterium|s__sp. POL2
h9,g__Sulfurimonas|s__Candidatus Sulfurimonas marisnigri
234,g__Geobacter|s__daltonii
h3,g__Streptomyces|s__roseochromogenus
h5,g__Thermoplasma|s__volcanium
h1,g__Streptococcus|s__sp. FDAARGOS_192
h2,g__Citrobacter|s__sp. RHBSTW-00887
h4,g__Akkermansia|s__glycaniphila
h3,g__Stenotrophomonas|s__sp. 364
h1,g__Ignavibacterium|s__album
k__Bacteria,g__Anaeromyxobacter|s__sp. Fw109-5
h6,g__Athalassotoga|s__saccharophila
LactoseConsumptionimport,g__Bifidobacterium|s__bifidum
h7,g__Methanothermococcus|s__okinawensis
15,g__Serinicoccus|s__profundi
h7,g__Tatlockia|s__micdadei
h9,g__Mycoplasma|s__penetrans
h0,g__Deinococcus|s__proteolyticus
h2,g__Sphingopyxis|s__sp. OPL5
h3,g__Bacillus|s__sp. M4U3P1
h6,g__Libanicoccus|s__massiliensis
h4,g__Lactobacillus|s__helveticus
h3,g__Pseudomonas|s__prosekii
h6,g__Pseudomonas|s__sp. S150
h9,g__Sphingomonas|s__sp. HDW15A
h6,g__Candidatus Phytoplasma|s__australiense
h1,g__Geminocystis|s__sp. NIES-3708
k__Bacteria,g__Kosakonia|s__Enterobacteriaceae endosymbiont of Donacia cincticornis
h2,g__Salinigranum|s__rubrum
h6,g__Hydrogenovibrio|s__thermophilus
h9,g__Arsenophonus|s__endosymbiont of Aleurodicus dispersus
h5,g__Streptomyces|s__cinereoruber
h3,g__Kosakonia|s__sp. CCTCC M2018092
h1,g__Pandoraea|s__thiooxydans
h7,g__Spiroplasma|s__sabaudiense
h2,g__Halomonas|s__sp. hl-4
h6,g__Marinomonas|s__arctica
h8,g__Avibacterium|s__volantium
h1,g__Mycolicibacterium|s__vanbaalenii
h3,g__Marinobacter|s__psychrophilus
h3,g__Thermochromatium|s__tepidum
h9,g__Blattabacterium|s__cuenoti
h8,g__Mycoplasmopsis|s__californica
h9,g__Fischerella|s__sp. NIES-3754
h6,g__Candidatus Cloacimonas|s__acidaminovorans
h0,g__Psychrobacter|s__sp. 28M-43
h3,g__Mycoplasma|s__genitalium
h3,g__Parashewanella|s__tropica
h0,g__Klebsiella|s__sp. BDA134-6
h5,g__Streptomyces|s__niveus
h4,g__Actinomyces|s__sp. ZJ750
h2,g__Pseudoalteromonas|s__prydzensis
k__Bacteria,g__Streptomyces|s__xinghaiensis
h7,g__Methylacidiphilum|s__infernorum
h2,g__Idiomarina|s__sp. OT37-5b
k__Bacteria,g__Streptomyces|s__lydicus
h2,g__Oceanobacillus|s__sp. 160
k__Bacteria,g__Staphylococcus|s__chromogenes
h0,g__Georhizobium|s__profundi
h9,g__Salimicrobium|s__jeotgali
h0,g__Paracoccus|s__sp. SC2-6
h6,g__Pseudomonas|s__cichorii
h3,g__Sphingomonas|s__sp. IC081
h6,g__Citrobacter|s__sp. RHBSTW-00667
h5,g__Burkholderia|s__sp. MSMB617WGS
h6,g__Pusillimonas|s__sp. T7-7
k__Bacteria,g__Marinomonas|s__sp. SM1966
k__Bacteria,g__Dickeya|s__solani
h6,g__Sphingomonas|s__paucimobilis
h2,g__Microbulbifer|s__sp. GL-2
h9,g__Alienimonas|s__californiensis
h0,g__Colwellia|s__beringensis
h0,g__Streptomyces|s__sp. GF20
CO2Productionexport,g__Mycoplasma|s__hyopneumoniae
h7,g__Rickettsia|s__bellii
h5,g__Sporosarcina|s__sp.
h7,g__Enterococcus|s__faecium
h2,g__Tetragenococcus|s__koreensis
h9,g__Pantoea|s__sp. CCBC3-3-1
h1,g__Aeromonas|s__schubertii
h0,g__Streptomyces|s__subrutilus
h8,g__Ruegeria|s__sp. PR1b
h9,g__Paraburkholderia|s__sp. SOS3
h3,g__Verrucomicrobium|s__sp. GAS474
h4,g__Blautia|s__sp. SC05B48
h8,g__Bartonella|s__bacilliformis
k__Bacteria,g__Streptomyces|s__kanamyceticus
h9,g__Chromohalobacter|s__salexigens
output,L-MalateS-MalateL-MalicacidMalateD-MalateR-MalateProductionexport
h0,g__Frischella|s__perrara
h3,g__Halomonas|s__sp. JS92-SW72
h0,g__Sulfurimonas|s__sp. 1-1N
h3,g__Agromyces|s__protaetiae
h0,g__Serinicoccus|s__hydrothermalis
h1,g__Bacillus|s__sp. FJAT-14266
h8,g__Nocardioides|s__humi
h4,g__Staphylococcus|s__sp. MI 10-1553
h1,g__Anabaena|s__cylindrica
h6,g__Olivibacter|s__sp. SDN3
h0,g__Haemophilus|s__[Haemophilus] ducreyi
h1,g__Alkalihalobacillus|s__pseudofirmus
h8,g__Capnocytophaga|s__endodontalis
h5,g__Rhizobium|s__hidalgonense
h7,g__Pseudomonas|s__sp. ACM7
k__Bacteria,g__Labrenzia|s__sp. THAF82
h2,g__Nocardioides|s__sp. SB3-45
h1,g__Arthrobacter|s__sp. PAMC 25486
h4,g__Ottowia|s__oryzae
CO2Productionexport,g__Clostridium|s__carboxidivorans
h1,g__Leucobacter|s__sp. HDW9B
h5,g__Limosilactobacillus|s__fermentum
274,g__Pulveribacter|s__suum
h9,g__Costertonia|s__aggregata
h6,g__Paenibacillus|s__sp. FSL R5-0345
h7,g__Streptomyces|s__sp. INR7
h1,g__Kushneria|s__sp. YCWA18
h6,g__Pasteurella|s__dagmatis
h4,g__Leifsonia|s__xyli
h5,g__Buchnera|s__aphidicola
h9,g__Kluyvera|s__intermedia
h0,g__Streptomyces|s__sp. Z022
h5,g__Saccharopolyspora|s__coralli
h6,g__Faecalitalea|s__cylindroides
h6,g__Enterobacter|s__sp. RHBSTW-00975
h2,g__Halobacterium|s__salinarum
h4,g__Thermoanaerobacter|s__ethanolicus
h8,g__Sulfurovum|s__sp. NBC37-1
h9,g__Fusobacterium|s__nucleatum
h5,g__Lactobacillus|s__terrae
h9,g__Histophilus|s__somni
h2,g__Massilia|s__putida
h8,g__Tessaracoccus|s__flavescens
h0,g__Arthrobacter|s__sp. U41
h3,g__Nocardioides|s__sp. dk884
h2,g__Microbacterium|s__sp. CBA3102
h7,g__Allofrancisella|s__guangzhouensis
h8,g__Arthrospira|s__platensis
h9,g__Candidatus Puniceispirillum|s__marinum
h1,g__Halorubrum|s__trapanicum
23,g__Pseudomonas|s__nitroreducens
h3,g__Pseudomonas|s__marincola
h6,g__Synechococcus|s__sp. CC9311
0,g__Zunongwangia|s__profunda
h3,g__Pseudomonas|s__sp. CFSAN084952
k__Bacteria,g__Mycoplasma|s__neurolyticum
h4,g__Natranaerobius|s__thermophilus
h2,g__Clostridium|s__novyi
h7,g__Caedibacter|s__taeniospiralis
h9,g__Janibacter|s__indicus
h6,g__Arthrobacter|s__crystallopoietes
h5,g__Gemmata|s__sp. SH-PL17
h7,g__Kribbella|s__flavida
h9,g__Saccharomonospora|s__azurea
h5,g__Staphylococcus|s__haemolyticus
h0,g__Pedobacter|s__suwonensis
h1,g__Mycobacterium|s__noviomagense
h2,g__Streptococcus|s__mutans
h7,g__Pantoea|s__sp. PSNIH1
h5,g__Nocardia|s__wallacei
h4,g__Sphingobacterium|s__daejeonense
GlycolithocholateConsumptionimport,g__Bifidobacterium|s__breve
h0,g__Glaciecola|s__nitratireducens
h0,g__Gimesia|s__benthica
h3,g__Thalassotalea|s__sp. LPB0316
h4,g__Rahnella|s__sp. Y9602
k__Bacteria,g__Bordetella|s__genomosp. 9
k__Bacteria,g__Teredinibacter|s__turnerae
h0,g__Virgibacillus|s__dokdonensis
h5,g__Shewanella|s__japonica
h6,g__Nonlabens|s__sediminis
h2,g__Metabacillus|s__litoralis
h1,g__Aromatoleum|s__aromaticum
h6,g__Brevundimonas|s__sp. MF30-B
h7,g__Pannonibacter|s__phragmitetus
h8,g__Woeseia|s__oceani
h0,g__Halorhabdus|s__tiamatea
h9,g__Pseudomonas|s__sp. bs2935
9,g__Marisediminicola|s__antarctica
NitrateConsumptionimport,g__Bacillus|s__megaterium
h0,g__Psychrobacter|s__sp. YP14
h3,g__Meiothermus|s__taiwanensis
h8,g__Propionibacterium|s__acidifaciens
AdenosylcobalaminVitaminB12CobamidecoenzymeCobIIalaminVitaminB12rCobIalaminVitaminB12sAquacobalaminCobalaminIIIConsumptionimport,g__Bacteroides|s__thetaiotaomicron
h9,g__Streptomyces|s__lydicus
h8,g__Halioglobus|s__maricola
h9,g__Pseudoalteromonas|s__espejiana
h5,g__Methylomonas|s__sp. LW13
SuccinateProductionexport,g__Megamonas|s__hypermegale
h1,g__Lactococcus|s__sp. KACC 19320
h9,g__Streptomyces|s__sp. RLB3-17
h6,g__Candidatus Nardonella|s__dryophthoridicola
h7,g__Stanieria|s__cyanosphaera
h6,g__Sporolactobacillus|s__terrae
h7,g__Massilia|s__putida
k__Bacteria,g__Roseovarius|s__sp. MME-070
h9,g__Streptococcus|s__lutetiensis
h3,g__Gramella|s__forsetii
TrimethylamineProductionexport,g__Staphylococcus|s__aureus
h4,g__Staphylococcus|s__sp. SDB 2975
h4,g__Furfurilactobacillus|s__Lactobacillus rossiae
h3,g__Ancylobacter|s__pratisalsi
h4,g__Verrucomicrobium|s__spinosum
h8,g__Isoptericola|s__variabilis
h8,g__Pseudomonas|s__sp. FDAARGOS_380
h5,g__Salinimonas|s__lutimaris
h9,g__Bifidobacterium|s__subtile
h1,g__Thermoanaerobacterium|s__sp. RBIITD
h8,g__Pseudomonas|s__sp.
h6,g__Helicobacter|s__cholecystus
h4,g__Pseudomonas|s__sp. R2-60-08W
h6,g__Serratia|s__grimesii
h8,g__Nitratireductor|s__sp. SY7
h4,g__Cupriavidus|s__sp. USMAA2-4
h2,g__Pseudomonas|s__alcaliphila
k__Bacteria,g__Mycoplasma|s__wenyonii
k__Bacteria,g__Thermomonas|s__sp. HDW16
h0,g__Streptococcus|s__pseudopneumoniae
h1,g__Xanthomonas|s__axonopodis
h1,g__Paenibacillus|s__cellulositrophicus
h2,g__Clostridium|s__cellulovorans
h2,g__Campylobacter|s__sputorum
4,g__Eubacterium|s__[Eubacterium] cellulosolvens
h0,g__Desulfurella|s__acetivorans
h1,g__Thermus|s__scotoductus
h6,g__Bacillus|s__sp. ZY-1-1
h9,g__Pseudomonas|s__alkylphenolica
h1,g__Actinomyces|s__sp. Chiba101
h6,g__Streptomyces|s__viridifaciens
h1,g__Staphylococcus|s__fleurettii
h3,g__Agrobacterium|s__genomosp. 1
L-GlycineGlycineConsumptionimport,g__Streptococcus|s__salivarius
h0,g__Bifidobacterium|s__animalis
h0,g__Oscillatoria|s__acuminata
h1,g__Methylophilus|s__medardicus
h3,g__Gordonia|s__westfalica
h5,g__Bacillus|s__mojavensis
h5,g__Microbacterium|s__paludicola
h7,g__Caldicellulosiruptor|s__kristjanssonii
k__Bacteria,g__Kosmotoga|s__bacterium 36B
h2,g__Corynebacterium|s__flavescens
h2,g__Photorhabdus|s__laumondii
h2,g__Mycobacterium|s__paragordonae
h4,g__Nocardia|s__sp. WCH-YHL-001
h4,g__Vibrio|s__gazogenes
h6,g__Glaciihabitans|s__sp. INWT7
h3,g__Corynebacterium|s__frankenforstense
h7,g__Thiomonas|s__arsenitoxydans
h5,g__Rhizobium|s__jaguaris
h7,g__Thermotoga|s__petrophila
EthanolProductionexport,g__Clostridium|s__cellulovorans
h1,g__Lactobacillus|s__terrae
h4,g__Bacillus|s__siamensis
h6,g__Methylibium|s__petroleiphilum
h8,g__Thermococcus|s__chitonophagus
h5,g__Wolbachia|s__endosymbiont of Cimex lectularius
h6,g__Caldisericum|s__exile
h7,g__Flavobacterium|s__faecale
h9,g__Microbacterium|s__sp. WY121
h5,g__Helicobacter|s__pylori
h7,g__Bosea|s__sp. AS-1
h6,g__Bordetella|s__petrii
h8,g__Hoyosella|s__subflava
h1,g__Burkholderia|s__sp. MSMB0266
h7,g__Propionibacterium|s__australiense
h6,g__Polaribacter|s__vadi
h7,g__Flammeovirga|s__sp. MY04
h4,g__Thermosynechococcus|s__vulcanus
h8,g__Pseudomonas|s__sp. R76
h9,g__Pediococcus|s__acidilactici
k__Bacteria,g__Corynebacterium|s__sp. 1959
h9,g__Chondromyces|s__crocatus
k__Bacteria,g__Novosphingobium|s__sp. P6W
0,g__Wolbachia|s__endosymbiont of Cruorifilaria tuberocauda
h6,g__Mameliella|s__alba
h8,g__Pseudoalteromonas|s__spongiae
h9,g__Massilistercora|s__timonensis
h7,g__Ensifer|s__mexicanus
h3,g__Synechococcus|s__sp. LTW-R
h6,g__Colwellia|s__beringensis
h8,g__Kocuria|s__palustris
h4,g__Psychromonas|s__sp. CNPT3
h1,g__Bacillus|s__sp. JAS24-2
2,g__Lactobacillus|s__amylolyticus
k__Bacteria,g__Thioalkalivibrio|s__nitratireducens
h1,g__Miniimonas|s__sp. S16
h6,g__Gudongella|s__oleilytica
h4,g__Streptomyces|s__antibioticus
h1,g__Fusobacterium|s__mortiferum
h7,g__Citrobacter|s__freundii complex sp. CFNIH2
h0,g__Leptothrix|s__cholodnii
h6,g__Candidatus Phytoplasma|s__Maize bushy stunt phytoplasma
h7,g__Methanocaldococcus|s__infernus
h0,g__Mycobacterium|s__avium
h1,g__Paenibacillus|s__sp. JDR-2
ThiamineVitaminB1ThiaminConsumptionimportproductionexport,g__Escherichia|s__coli
h3,g__Oscillibacter|s__valericigenes
h1,g__Anaerolinea|s__thermophila
h6,g__Vibrio|s__astriarenae
h6,g__Candidatus Annandia|s__Enterobacteriaceae endosymbiont of Plateumaris braccata
k__Bacteria,g__Ruania|s__sp. HY168
h7,g__Sphingobacterium|s__sp. 21
h8,g__Lachnoanaerobaculum|s__umeaense
h1,g__Synechococcus|s__sp. WH 8101
h0,g__Porphyrobacter|s__sp. YT40
h5,g__Polaromonas|s__sp. Pch-P
h1,g__Oenococcus|s__sp. UCMA 16435
h3,g__Candidatus Blochmannia|s__chromaiodes
h8,g__Diaphorobacter|s__polyhydroxybutyrativorans
h9,g__Bacteroides|s__zoogleoformans
h1,g__Treponema|s__primitia
h0,g__Thermoanaerobacterium|s__aotearoense
h4,g__Desulfotalea|s__psychrophila
h7,g__Pseudoalteromonas|s__arctica
h2,g__Alcaligenes|s__faecalis
h2,g__Pseudomonas|s__oryzihabitans
h2,g__Pseudomonas|s__sp. ADAK18
h1,g__Actinomadura|s__sp. WMMB 499
h2,g__Ndongobacter|s__massiliensis
h1,g__Salaquimonas|s__pukyongi
h5,g__Stenotrophomonas|s__sp. pho
h7,g__Serratia|s__fonticola
h7,g__Methanothrix|s__soehngenii
h9,g__Spirosoma|s__sp. KUDC1026
h9,g__Bacillus|s__glycinifermentans
h9,g__Streptomyces|s__malaysiensis
h3,g__Actinomyces|s__sp. oral taxon 169
h8,g__Formosa|s__agariphila
23,g__Wenzhouxiangella|s__marina
h2,g__Erysipelothrix|s__sp. HDW6B
3,g__Brucella|s__intermedia
h4,g__Serratia|s__ureilytica
h5,g__Pelodictyon|s__luteolum
h8,g__Rhodococcus|s__sp. H-CA8f
h9,g__Deinococcus|s__geothermalis
h2,g__Candidatus Koribacter|s__versatilis
h4,g__Salmonella|s__Enterobacteriaceae endosymbiont of Macroplea appendiculata
h9,g__Nonomuraea|s__sp. ATCC 55076
311,g__Halopenitus|s__persicus
h3,g__Aquimarina|s__sp. BL5
h4,g__Mycoplasma|s__sp. 1654_15
h4,g__Limnohabitans|s__sp. 63ED37-2
h1,g__Paenibacillus|s__barcinonensis
h6,g__Variovorax|s__sp. RA8
h2,g__Chlamydia|s__avium
h2,g__Yersinia|s__bercovieri
13,g__Streptococcus|s__mutans
h0,g__Stackebrandtia|s__nassauensis
h1,g__Cronobacter|s__sp. JZ38
h1,g__Porphyrobacter|s__sp. HT-58-2
h8,g__Burkholderia|s__stabilis
h0,g__Microbacterium|s__sp. RG1
h6,g__Cyanothece|s__sp. PCC 7425
k__Bacteria,g__Candidatus Annandia|s__Enterobacteriaceae endosymbiont of Donacia cinerea
h1,g__Achromobacter|s__sp. MFA1 R4
h3,g__Cedecea|s__sp. FDAARGOS_727
h1,g__Bacillus|s__tropicus
h3,g__Citrobacter|s__braakii
h2,g__Streptomyces|s__sp. F12
h5,g__Microbacterium|s__sp. Nx66
h6,g__Thermodesulfobium|s__acidiphilum
output,Inositolmyo-InositolInositol1-phosphateMyo-inositolphosphateConsumptionimport
h2,g__Cellulosimicrobium|s__sp. TH-20
h7,g__Litoricola|s__lipolytica
h3,g__Formosa|s__sp. Hel3_A1_48
h2,g__Corynebacterium|s__rouxii
h4,g__Serratia|s__nematodiphila
h2,g__Lactobacillus|s__kullabergensis
h5,g__Pandoraea|s__thiooxydans
h2,g__Geobacter|s__sulfurreducens
h3,g__Candidatus Blochmannia|s__Blochmannia endosymbiont of Colobopsis nipponica
h4,g__Nitrosopumilus|s__adriaticus
h7,g__Casimicrobium|s__huifangae
h9,g__Candidatus Nitrosoglobus|s__terrae
h6,g__Corynebacterium|s__terpenotabidum
h9,g__Chlamydia|s__sp. H15-1957-10C
k__Bacteria,g__Streptomyces|s__noursei
h2,g__Serratia|s__fonticola
